Frequency (Hz)	Level (dB)
106.201172	-51.383404
106.567383	-50.360538
106.933594	-50.871662
107.299805	-49.757114
107.666016	-52.223858
108.032227	-53.311604
108.398438	-52.473511
108.764648	-53.511185
109.130859	-53.932640
109.497070	-53.844559
109.863281	-54.548790
110.229492	-54.360779
110.595703	-56.864124
110.961914	-57.628742
111.328125	-58.410686
111.694336	-58.272243
112.060547	-57.778065
112.426758	-57.249401
112.792969	-57.298866
113.159180	-58.156162
113.525391	-58.263439
113.891602	-57.582012
114.257812	-56.835686
114.624023	-57.048336
114.990234	-57.666279
115.356445	-58.020229
115.722656	-57.869743
116.088867	-58.467701
116.455078	-57.185883
116.821289	-57.333435
117.187500	-57.875862
117.553711	-57.322533
117.919922	-55.827236
118.286133	-55.030437
118.652344	-54.621082
119.018555	-56.593414
119.384766	-57.267139
119.750977	-54.681660
120.117188	-55.103413
120.483398	-55.964409
120.849609	-54.237637
121.215820	-54.010487
121.582031	-53.255936
121.948242	-51.908180
122.314453	-49.704681
122.680664	-48.751251
123.046875	-50.114754
123.413086	-50.151047
123.779297	-49.463825
124.145508	-52.126968
124.511719	-52.020565
124.877930	-52.321495
125.244141	-50.267559
125.610352	-50.094402
125.976562	-50.616711
126.342773	-48.318832
126.708984	-48.371471
127.075195	-47.598312
127.441406	-47.453857
127.807617	-48.013298
128.173828	-48.952953
128.540039	-50.221741
128.906250	-54.098351
129.272461	-46.914005
129.638672	-48.292351
130.004883	-52.985504
130.371094	-52.213200
130.737305	-49.712795
131.103516	-47.209721
131.469727	-48.537510
131.835938	-49.226742
132.202148	-47.548168
132.568359	-49.907310
132.934570	-55.571999
133.300781	-50.069218
133.666992	-52.117924
134.033203	-54.688248
134.399414	-54.822834
134.765625	-51.412178
135.131836	-50.570480
135.498047	-51.266014
135.864258	-49.809704
136.230469	-47.995472
136.596680	-50.665077
136.962891	-54.376076
137.329102	-52.011646
137.695312	-51.285774
138.061523	-49.881771
138.427734	-50.996387
138.793945	-50.786312
139.160156	-52.711891
139.526367	-51.441246
139.892578	-47.634205
140.258789	-46.464584
140.625000	-48.418205
140.991211	-50.093967
141.357422	-51.705975
141.723633	-46.014126
142.089844	-44.475338
142.456055	-46.171890
142.822266	-47.858929
143.188477	-49.237545
143.554688	-50.495205
143.920898	-45.719627
144.287109	-44.239388
144.653320	-42.161987
145.019531	-42.687248
145.385742	-47.542133
145.751953	-40.446476
146.118164	-40.263767
146.484375	-43.054119
146.850586	-44.392925
147.216797	-44.660576
147.583008	-49.632053
147.949219	-51.009251
148.315430	-47.949421
148.681641	-45.156643
149.047852	-46.755856
149.414062	-50.883282
149.780273	-48.519451
150.146484	-48.460167
150.512695	-49.132355
150.878906	-49.384197
151.245117	-50.412449
151.611328	-51.525146
151.977539	-52.395657
152.343750	-51.134315
152.709961	-51.736950
153.076172	-53.208797
153.442383	-54.933537
153.808594	-54.219383
154.174805	-53.966057
154.541016	-54.084805
154.907227	-53.650509
155.273438	-54.680664
155.639648	-55.324543
156.005859	-55.602791
156.372070	-55.941643
156.738281	-56.909843
157.104492	-56.678226
157.470703	-56.185623
157.836914	-56.941326
158.203125	-56.784260
158.569336	-56.056438
158.935547	-55.155750
159.301758	-54.206284
159.667969	-52.215473
160.034180	-52.837509
160.400391	-54.834759
160.766602	-57.595284
161.132812	-56.909012
161.499023	-55.453430
161.865234	-55.373661
162.231445	-55.542305
162.597656	-55.335026
162.963867	-55.684635
163.330078	-53.489719
163.696289	-52.417969
164.062500	-53.538509
164.428711	-54.219337
164.794922	-54.142662
165.161133	-56.224724
165.527344	-56.992622
165.893555	-56.314766
166.259766	-57.235115
166.625977	-57.556942
166.992188	-57.643284
167.358398	-53.999676
167.724609	-52.807442
168.090820	-51.041004
168.457031	-50.080559
168.823242	-50.098953
169.189453	-54.637833
169.555664	-56.628361
169.921875	-55.862709
170.288086	-57.038548
170.654297	-57.022076
171.020508	-58.749832
171.386719	-56.607937
171.752930	-53.286491
172.119141	-49.212986
172.485352	-48.211113
172.851562	-49.098042
173.217773	-53.477543
173.583984	-55.557758
173.950195	-55.374802
174.316406	-52.010746
174.682617	-52.548706
175.048828	-57.027370
175.415039	-56.206039
175.781250	-51.235733
176.147461	-49.019653
176.513672	-49.040966
176.879883	-50.398708
177.246094	-51.733356
177.612305	-55.320335
177.978516	-57.068619
178.344727	-53.205746
178.710938	-55.719112
179.077148	-58.323891
179.443359	-56.841457
179.809570	-56.888802
180.175781	-58.627686
180.541992	-57.940254
180.908203	-57.293701
181.274414	-57.437016
181.640625	-59.637215
182.006836	-60.756039
182.373047	-60.868313
182.739258	-61.591843
183.105469	-62.766125
183.471680	-62.151768
183.837891	-62.647175
184.204102	-64.259903
184.570312	-62.907207
184.936523	-61.682781
185.302734	-62.082336
185.668945	-63.759136
186.035156	-62.264229
186.401367	-62.308857
186.767578	-64.606262
187.133789	-61.727261
187.500000	-61.119968
187.866211	-61.253387
188.232422	-60.414478
188.598633	-60.699799
188.964844	-61.139809
189.331055	-60.277092
189.697266	-60.863895
190.063477	-60.951241
190.429688	-60.622967
190.795898	-60.623486
191.162109	-60.911850
191.528320	-60.410091
191.894531	-60.138874
192.260742	-61.619213
192.626953	-60.647003
192.993164	-60.925278
193.359375	-62.630802
193.725586	-62.453812
194.091797	-62.266346
194.458008	-63.453072
194.824219	-62.509918
195.190430	-62.021004
195.556641	-62.525677
195.922852	-60.070576
196.289062	-59.370571
196.655273	-60.190979
197.021484	-61.835213
197.387695	-62.431339
197.753906	-63.282749
198.120117	-62.858185
198.486328	-62.100693
198.852539	-61.556660
199.218750	-62.059292
199.584961	-60.148170
199.951172	-58.046772
200.317383	-57.073654
200.683594	-55.612560
201.049805	-57.006744
201.416016	-59.674644
201.782227	-59.476612
202.148438	-60.730885
202.514648	-61.318363
202.880859	-58.362080
203.247070	-59.750519
203.613281	-60.621250
203.979492	-57.481697
204.345703	-54.026741
204.711914	-52.753296
205.078125	-54.239933
205.444336	-56.817959
205.810547	-56.856136
206.176758	-58.215057
206.542969	-60.141190
206.909180	-59.012306
207.275391	-58.304050
207.641602	-58.524170
208.007812	-58.792152
208.374023	-51.878475
208.740234	-51.484402
209.106445	-53.883579
209.472656	-55.050266
209.838867	-54.616879
210.205078	-57.475079
210.571289	-61.066479
210.937500	-59.519455
211.303711	-58.108410
211.669922	-58.395397
212.036133	-58.539577
212.402344	-55.526283
212.768555	-56.293644
213.134766	-56.425800
213.500977	-55.510239
213.867188	-56.532658
214.233398	-58.368332
214.599609	-57.339378
214.965820	-59.801559
215.332031	-59.475304
215.698242	-57.703274
216.064453	-58.751453
216.430664	-61.111420
216.796875	-58.938038
217.163086	-56.184917
217.529297	-56.311993
217.895508	-56.684963
218.261719	-55.900856
218.627930	-56.443443
218.994141	-58.241459
219.360352	-57.415939
219.726562	-57.770798
220.092773	-59.624695
220.458984	-58.545959
220.825195	-57.974689
221.191406	-58.555775
221.557617	-57.745670
221.923828	-57.377541
222.290039	-57.579449
222.656250	-58.631527
223.022461	-57.763481
223.388672	-59.058739
223.754883	-59.973129
224.121094	-58.045067
224.487305	-57.084129
224.853516	-58.208916
225.219727	-59.307362
225.585938	-58.642704
225.952148	-57.884270
226.318359	-56.406742
226.684570	-57.226143
227.050781	-58.049347
227.416992	-58.771523
227.783203	-57.092335
228.149414	-56.510792
228.515625	-56.600834
228.881836	-56.284767
229.248047	-56.751801
229.614258	-58.099751
229.980469	-58.462460
230.346680	-56.015656
230.712891	-56.483784
231.079102	-57.240063
231.445312	-56.496952
231.811523	-55.723598
232.177734	-55.243511
232.543945	-55.324600
232.910156	-55.514114
233.276367	-55.974087
233.642578	-56.771481
234.008789	-56.887821
234.375000	-56.216980
234.741211	-57.450771
235.107422	-55.963188
235.473633	-54.868366
235.839844	-56.018559
236.206055	-57.425476
236.572266	-55.728138
236.938477	-53.815765
237.304688	-55.153946
237.670898	-55.904030
238.037109	-55.281460
238.403320	-54.534977
238.769531	-55.864700
239.135742	-55.308491
239.501953	-54.927139
239.868164	-55.213833
240.234375	-55.545189
240.600586	-53.719269
240.966797	-53.428127
241.333008	-54.931934
241.699219	-53.347363
242.065430	-52.512188
242.431641	-53.196083
242.797852	-56.096130
243.164062	-53.512085
243.530273	-52.620159
243.896484	-52.989250
244.262695	-55.100788
244.628906	-52.595978
244.995117	-52.119835
245.361328	-51.654831
245.727539	-52.175262
246.093750	-50.901161
246.459961	-52.139702
246.826172	-52.352551
247.192383	-51.263485
247.558594	-48.501141
247.924805	-50.205944
248.291016	-52.587032
248.657227	-51.394844
249.023438	-46.057056
249.389648	-45.118816
249.755859	-44.001911
250.122070	-43.413082
250.488281	-41.286861
250.854492	-38.972546
251.220703	-38.830940
251.586914	-39.840672
251.953125	-42.365345
252.319336	-47.617287
252.685547	-53.130955
253.051758	-53.817066
253.417969	-52.634949
253.784180	-53.616161
254.150391	-57.803104
254.516602	-60.376648
254.882812	-60.012688
255.249023	-59.325104
255.615234	-58.155964
255.981445	-57.591263
256.347656	-57.689743
256.713867	-58.136227
257.080078	-58.786850
257.446289	-58.975391
257.812500	-59.576099
258.178711	-60.682446
258.544922	-61.892216
258.911133	-63.055756
259.277344	-63.551243
259.643555	-64.447098
260.009766	-65.335899
260.375977	-66.203903
260.742188	-66.992126
261.108398	-68.101257
261.474609	-68.934883
261.840820	-69.023468
262.207031	-70.054703
262.573242	-68.476433
262.939453	-68.532043
263.305664	-68.906815
263.671875	-68.310410
264.038086	-68.519402
264.404297	-67.464523
264.770508	-66.697533
265.136719	-66.724098
265.502930	-66.034882
265.869141	-65.524391
266.235352	-66.189003
266.601562	-65.225014
266.967773	-64.749954
267.333984	-64.120178
267.700195	-63.673431
268.066406	-64.319664
268.432617	-64.271263
268.798828	-64.336884
269.165039	-65.855446
269.531250	-65.574684
269.897461	-65.137726
270.263672	-66.001305
270.629883	-65.461578
270.996094	-63.885807
271.362305	-63.534367
271.728516	-62.938595
272.094727	-63.014286
272.460938	-64.111496
272.827148	-64.726463
273.193359	-65.044731
273.559570	-64.341133
273.925781	-64.550278
274.291992	-65.235077
274.658203	-66.437584
275.024414	-66.815224
275.390625	-67.204483
275.756836	-67.062042
276.123047	-67.396645
276.489258	-67.835686
276.855469	-67.914215
277.221680	-67.965050
277.587891	-67.396896
277.954102	-65.353088
278.320312	-65.011528
278.686523	-64.475853
279.052734	-65.484001
279.418945	-66.615662
279.785156	-66.886017
280.151367	-66.255653
280.517578	-66.099258
280.883789	-64.361801
281.250000	-63.123669
281.616211	-63.769318
281.982422	-62.506050
282.348633	-62.638145
282.714844	-62.724686
283.081055	-63.751755
283.447266	-65.187752
283.813477	-65.722000
284.179688	-67.290916
284.545898	-67.353661
284.912109	-66.634270
285.278320	-66.187912
285.644531	-63.604912
286.010742	-62.675114
286.376953	-62.155315
286.743164	-62.069786
287.109375	-63.506054
287.475586	-63.547230
287.841797	-64.850533
288.208008	-64.162506
288.574219	-64.547684
288.940430	-63.943439
289.306641	-63.831123
289.672852	-63.629242
290.039062	-64.043175
290.405273	-63.724415
290.771484	-62.974880
291.137695	-62.952175
291.503906	-63.216537
291.870117	-64.127846
292.236328	-65.195038
292.602539	-64.841171
292.968750	-64.862328
293.334961	-65.098343
293.701172	-65.889168
294.067383	-65.809418
294.433594	-64.031876
294.799805	-62.464058
295.166016	-62.690468
295.532227	-64.842064
295.898438	-65.601547
296.264648	-67.147430
296.630859	-68.955101
296.997070	-67.341850
297.363281	-67.734467
297.729492	-68.134125
298.095703	-67.601944
298.461914	-67.746178
298.828125	-67.390869
299.194336	-67.537827
299.560547	-67.365433
299.926758	-67.285591
300.292969	-67.430603
300.659180	-66.065666
301.025391	-65.970047
301.391602	-66.214790
301.757812	-66.090958
302.124023	-65.177010
302.490234	-65.920052
302.856445	-65.830269
303.222656	-65.992455
303.588867	-65.366905
303.955078	-66.154633
304.321289	-65.136169
304.687500	-65.270157
305.053711	-66.267143
305.419922	-68.189400
305.786133	-66.864197
306.152344	-65.365372
306.518555	-65.696053
306.884766	-67.287201
307.250977	-67.891495
307.617188	-67.837593
307.983398	-68.319717
308.349609	-68.397362
308.715820	-68.014320
309.082031	-66.571762
309.448242	-65.176872
309.814453	-66.691185
310.180664	-66.937622
310.546875	-66.863541
